,date,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,JAVA
0,2007-01-01,11,1,2,70,34,0,1,92,5,71,5,29,90
1,2007-02-01,11,1,2,69,34,0,0,99,5,69,5,30,100
2,2007-03-01,10,1,2,69,32,0,0,99,4,74,6,31,95
3,2007-04-01,11,0,2,71,34,0,0,100,4,79,5,27,92
4,2007-05-01,10,1,2,77,30,0,0,96,4,76,4,27,89
5,2007-06-01,9,1,1,80,31,0,1,100,3,81,6,33,84
6,2007-07-01,9,1,1,81,30,0,0,96,4,77,6,32,82
7,2007-08-01,11,0,1,79,34,0,1,100,3,73,5,33,85
8,2007-09-01,14,0,2,72,35,0,0,93,3,72,5,26,89
9,2007-10-01,13,1,2,69,35,0,0,98,5,75,5,28,96
10,2007-11-01,12,1,2,64,32,0,0,89,4,73,5,23,81
11,2007-12-01,11,0,1,68,27,0,0,75,3,73,5,24,73
12,2008-01-01,12,0,1,67,35,0,0,90,4,74,5,27,78
13,2008-02-01,12,1,2,66,34,0,0,96,4,70,4,28,89
14,2008-03-01,11,0,1,69,32,0,0,91,4,77,4,27,84
15,2008-04-01,12,1,2,69,34,0,0,96,5,81,5,27,84
16,2008-05-01,11,1,2,73,29,0,0,91,3,76,6,27,76
17,2008-06-01,9,1,1,80,30,0,0,96,3,83,6,32,70
18,2008-07-01,11,1,1,79,31,0,0,99,3,78,4,29,74
19,2008-08-01,11,1,1,78,30,0,0,91,4,78,5,29,72
20,2008-09-01,16,1,2,73,36,0,0,88,4,71,6,27,80
21,2008-10-01,13,1,2,70,33,0,0,89,3,71,6,28,76
22,2008-11-01,12,0,2,67,30,0,0,79,3,73,4,22,73
23,2008-12-01,12,1,2,72,28,0,0,74,3,69,4,24,69
24,2009-01-01,12,1,1,75,32,0,0,83,4,76,5,28,69
25,2009-02-01,13,0,2,71,37,0,0,88,4,73,5,29,80
26,2009-03-01,12,1,2,76,32,0,0,88,3,82,4,29,78
27,2009-04-01,13,0,2,76,34,0,0,92,3,82,5,29,76
28,2009-05-01,12,1,2,81,29,0,0,81,2,80,5,29,68
29,2009-06-01,11,1,1,85,29,0,0,89,3,82,5,33,69
30,2009-07-01,10,1,1,89,29,0,0,85,3,86,4,32,68
31,2009-08-01,13,1,1,87,32,0,0,85,4,85,5,34,70
32,2009-09-01,18,1,2,79,39,0,0,89,3,81,6,32,76
33,2009-10-01,15,1,2,76,36,0,0,84,4,77,5,29,72
34,2009-11-01,15,1,2,74,32,0,0,76,3,78,4,27,72
35,2009-12-01,14,1,2,77,27,0,0,73,3,73,4,25,61
36,2010-01-01,14,1,2,78,36,0,0,77,3,79,5,31,68
37,2010-02-01,17,1,2,75,37,0,0,82,4,74,5,28,73
38,2010-03-01,14,1,2,77,34,0,0,89,3,83,4,33,76
39,2010-04-01,15,1,2,80,34,0,0,83,3,78,5,31,75
40,2010-05-01,15,1,2,82,31,0,0,84,4,85,4,29,66
41,2010-06-01,12,1,1,90,31,0,0,91,3,87,5,34,67
42,2010-07-01,9,1,1,75,24,0,0,68,2,71,4,27,55
43,2010-08-01,11,1,1,77,27,0,0,72,2,69,4,26,59
44,2010-09-01,15,1,2,67,31,0,0,66,3,67,4,24,67
45,2010-10-01,15,1,2,65,28,0,0,66,2,64,4,23,64
46,2010-11-01,13,1,2,63,25,0,0,59,2,68,3,21,63
47,2010-12-01,11,1,2,64,22,0,0,55,2,62,4,20,56
48,2011-01-01,10,1,1,68,27,0,0,50,2,67,4,27,46
49,2011-02-01,11,1,1,69,27,0,0,51,2,65,3,26,51
50,2011-03-01,9,1,1,73,26,0,0,53,3,71,3,29,50
51,2011-04-01,9,1,2,74,25,0,0,50,3,71,3,29,51
52,2011-05-01,9,1,2,75,23,0,0,47,2,69,3,28,45
53,2011-06-01,7,1,1,86,22,0,0,53,2,74,4,33,45
54,2011-07-01,7,1,1,84,22,0,0,47,2,72,3,32,40
55,2011-08-01,9,1,1,83,27,0,0,51,3,73,4,33,45
56,2011-09-01,13,1,2,75,28,0,0,47,3,70,4,29,50
57,2011-10-01,10,1,1,71,25,0,0,46,2,66,3,27,49
58,2011-11-01,9,1,1,70,23,0,0,43,2,68,3,26,44
59,2011-12-01,8,1,1,68,18,0,0,35,2,62,2,23,38
60,2012-01-01,9,1,1,71,25,0,0,42,2,69,4,28,40
61,2012-02-01,9,1,1,70,26,0,0,46,2,67,4,29,44
62,2012-03-01,8,1,1,74,23,0,0,44,2,70,3,29,44
63,2012-04-01,9,1,1,74,23,0,0,43,2,71,3,30,43
64,2012-05-01,8,1,2,74,20,0,0,42,2,69,3,30,39
65,2012-06-01,6,1,1,85,21,0,0,46,2,75,4,32,41
66,2012-07-01,6,1,1,83,20,0,0,41,2,77,3,33,38
67,2012-08-01,8,1,1,81,23,0,0,48,2,73,3,33,42
68,2012-09-01,11,1,1,75,28,0,0,43,2,71,4,30,49
69,2012-10-01,10,1,1,66,23,0,0,41,2,65,3,28,43
70,2012-11-01,9,1,2,65,22,0,0,40,2,67,2,26,41
71,2012-12-01,8,1,1,66,19,0,0,35,2,66,3,26,38
72,2013-01-01,9,1,1,69,26,0,0,43,2,71,3,30,59
73,2013-02-01,9,1,1,66,24,0,0,41,2,65,3,28,49
74,2013-03-01,8,1,1,71,22,0,0,41,2,72,3,31,45
75,2013-04-01,9,1,2,74,26,0,0,49,2,75,3,34,49
76,2013-05-01,8,1,1,76,20,0,0,43,2,72,3,32,41
77,2013-06-01,6,1,1,84,21,0,0,43,2,75,3,33,41
78,2013-07-01,6,1,1,83,21,0,0,45,2,77,3,35,43
79,2013-08-01,8,1,1,83,23,0,0,46,2,76,3,35,42
80,2013-09-01,12,1,1,75,29,0,0,43,2,66,4,33,46
81,2013-10-01,10,1,1,71,25,0,0,48,2,68,4,31,51
82,2013-11-01,8,1,1,70,22,0,0,42,2,73,2,29,46
83,2013-12-01,7,1,1,68,18,0,0,36,2,64,2,26,38
84,2014-01-01,8,1,1,74,25,0,0,43,2,70,3,33,49
85,2014-02-01,9,1,1,73,28,0,0,48,2,69,3,32,52
86,2014-03-01,7,1,1,76,24,0,0,46,2,74,3,36,47
87,2014-04-01,8,1,1,78,26,0,0,48,2,74,3,36,48
88,2014-05-01,8,1,1,81,23,0,0,47,2,78,3,36,43
89,2014-06-01,6,1,1,87,22,0,0,50,2,78,3,45,42
90,2014-07-01,6,1,0,87,23,0,0,51,2,84,3,42,46
91,2014-08-01,7,1,1,85,24,0,0,49,2,76,3,41,45
92,2014-09-01,11,1,1,77,33,0,0,51,2,72,3,38,52
93,2014-10-01,10,1,1,73,28,0,0,52,2,71,3,36,55
94,2014-11-01,8,1,1,72,23,0,0,46,2,73,3,31,50
95,2014-12-01,8,1,1,69,21,0,0,42,2,69,2,30,42
96,2015-01-01,8,1,1,72,25,0,0,46,2,71,3,38,46
97,2015-02-01,9,1,1,72,28,0,0,50,2,70,3,44,53
98,2015-03-01,8,1,1,77,27,0,0,52,3,75,3,57,52
99,2015-04-01,8,1,1,77,28,0,0,54,2,74,3,45,53
100,2015-05-01,7,1,1,77,22,0,0,48,2,76,3,43,46
101,2015-06-01,6,1,0,90,23,0,0,55,2,82,3,47,43
102,2015-07-01,5,1,0,92,21,0,0,48,2,83,3,45,41
103,2015-08-01,6,1,0,89,23,0,0,44,2,78,3,42,39
104,2015-09-01,9,1,1,77,28,0,0,44,2,70,3,39,44
105,2015-10-01,8,1,1,73,25,0,0,44,2,71,3,37,42
106,2015-11-01,7,1,1,71,22,0,0,39,2,69,3,32,44
107,2015-12-01,6,1,0,72,19,0,0,36,2,69,2,32,35
108,2016-01-01,5,1,0,78,23,0,0,32,2,79,3,40,31
109,2016-02-01,6,1,1,81,27,0,0,37,2,77,3,45,37
110,2016-03-01,5,1,0,87,23,0,0,37,2,81,3,45,35
111,2016-04-01,5,1,1,89,23,0,0,35,2,81,3,42,34
112,2016-05-01,5,1,1,84,20,0,0,34,2,78,3,43,31
113,2016-06-01,4,1,0,97,20,0,0,37,2,83,3,49,30
114,2016-07-01,4,1,0,100,18,0,0,32,2,84,3,48,26
115,2016-08-01,5,1,0,91,22,0,0,36,2,83,3,46,30
116,2016-09-01,7,1,0,85,26,0,0,33,2,78,3,41,35
117,2016-10-01,6,1,0,79,24,0,0,35,2,77,3,41,35
118,2016-11-01,5,1,0,74,22,0,0,33,2,78,2,35,35
119,2016-12-01,4,1,0,76,18,0,0,28,2,75,2,35,29
120,2017-01-01,5,1,0,78,25,0,0,34,2,78,3,42,33
121,2017-02-01,6,1,0,78,26,0,0,39,2,79,3,45,39
122,2017-03-01,5,1,0,87,24,0,0,39,2,84,3,48,37
123,2017-04-01,5,1,0,81,24,0,0,36,2,80,3,44,38
124,2017-05-01,5,1,0,85,20,0,0,36,2,83,3,50,32
125,2017-06-01,4,1,0,100,22,0,0,38,2,96,4,54,29
126,2017-07-01,4,1,0,100,20,0,0,35,3,100,4,53,29
127,2017-08-01,5,1,0,89,22,0,0,39,2,85,3,45,32
128,2017-09-01,7,1,0,89,29,0,0,37,3,86,4,48,37
129,2017-10-01,6,1,0,81,25,0,0,40,2,80,3,46,39
130,2017-11-01,5,1,0,75,21,0,0,35,2,78,3,39,35
131,2017-12-01,4,1,0,73,17,0,0,28,1,74,2,39,25
