,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection
0,2007-01-01,5,15,30,10,75,5,0,3,14,0,0,48,36,0,0,60,0,49,7,20
1,2007-02-01,5,21,31,0,66,3,0,4,13,0,0,62,25,0,0,76,0,57,9,14
2,2007-03-01,5,14,20,9,59,2,0,7,10,0,0,59,19,0,0,71,0,76,16,9
3,2007-04-01,5,16,28,9,82,3,0,2,16,0,0,67,30,0,0,87,0,50,13,18
4,2007-05-01,5,19,21,5,65,0,0,3,10,0,0,75,26,0,0,91,0,69,8,32
5,2007-06-01,8,14,33,6,70,9,0,6,10,0,0,63,30,0,0,94,0,87,8,38
6,2007-07-01,10,10,27,5,100,3,0,3,6,0,0,76,25,0,0,91,0,56,9,34
7,2007-08-01,5,10,22,0,88,0,0,8,6,0,0,68,29,0,0,100,0,65,8,12
8,2007-09-01,4,25,38,0,74,2,0,6,12,0,0,57,40,0,0,59,0,70,8,15
9,2007-10-01,0,12,28,8,66,3,0,7,12,0,0,66,34,0,0,93,0,59,0,23
10,2007-11-01,8,10,26,6,84,0,0,5,14,0,0,57,22,0,0,67,0,72,0,16
11,2007-12-01,4,23,23,0,64,0,0,5,16,0,0,49,14,0,0,67,0,78,0,17
12,2008-01-01,11,13,32,4,92,3,0,7,10,0,0,61,16,0,0,68,0,53,7,34
13,2008-02-01,4,13,33,8,72,2,0,4,11,0,0,53,23,0,0,68,0,55,8,12
14,2008-03-01,4,21,18,5,85,2,0,4,20,0,0,69,17,0,0,56,0,60,13,19
15,2008-04-01,7,20,20,7,84,2,0,5,19,0,0,74,36,0,0,45,0,49,6,27
16,2008-05-01,8,19,33,4,90,0,0,2,14,0,0,67,28,0,0,72,0,53,5,27
17,2008-06-01,4,29,24,4,79,7,0,4,18,0,0,53,15,0,0,66,0,83,6,28
18,2008-07-01,6,29,42,13,78,0,0,2,9,0,0,85,14,0,0,88,0,54,0,19
19,2008-08-01,13,28,34,15,88,2,0,4,17,0,0,74,31,0,0,69,0,76,7,21
20,2008-09-01,7,34,29,4,89,3,0,4,15,0,0,70,37,0,0,79,0,74,5,12
21,2008-10-01,3,42,34,3,67,0,0,6,17,0,0,56,41,0,0,60,0,69,5,24
22,2008-11-01,4,42,35,11,77,2,0,6,16,0,0,61,30,0,0,66,0,54,0,14
23,2008-12-01,0,30,27,5,63,4,0,6,14,0,0,61,24,0,0,61,0,53,0,16
24,2009-01-01,5,37,24,14,58,0,0,7,13,0,0,62,33,0,0,75,0,65,7,13
25,2009-02-01,7,38,33,3,81,2,0,3,14,0,0,65,33,0,0,75,0,65,5,19
26,2009-03-01,8,24,36,5,81,2,0,3,11,0,0,70,19,0,0,61,0,52,4,23
27,2009-04-01,10,26,34,6,88,2,0,6,12,0,0,71,20,0,0,69,0,66,6,24
28,2009-05-01,3,33,14,3,87,0,0,5,16,0,0,64,16,0,0,84,0,58,7,29
29,2009-06-01,11,40,24,6,81,3,0,7,11,0,0,90,27,0,0,93,0,68,5,33
30,2009-07-01,4,36,34,9,100,2,0,5,12,0,0,74,31,0,0,83,0,80,5,27
31,2009-08-01,4,54,44,11,93,3,0,6,12,0,0,95,31,0,0,69,0,82,0,33
32,2009-09-01,6,38,35,5,86,3,0,4,23,0,0,75,38,0,0,71,0,66,7,28
33,2009-10-01,4,16,47,9,70,3,0,4,22,0,0,72,39,0,0,68,0,64,9,10
34,2009-11-01,5,63,12,4,90,2,0,3,10,0,0,56,20,0,0,38,0,53,2,12
35,2009-12-01,4,77,12,2,57,1,0,2,8,0,0,51,13,0,0,29,0,51,2,12
36,2010-01-01,3,75,18,1,48,2,0,2,7,0,0,55,22,0,0,24,0,52,2,18
37,2010-02-01,1,65,12,4,65,1,0,3,11,0,0,56,20,0,0,31,0,43,4,21
38,2010-03-01,2,76,15,6,67,1,0,2,6,0,0,51,19,0,0,29,0,54,2,16
39,2010-04-01,5,72,15,3,56,1,0,1,8,0,0,62,17,0,0,32,0,50,3,21
40,2010-05-01,2,66,13,3,53,1,0,2,3,0,0,56,16,0,0,28,0,51,3,15
41,2010-06-01,3,75,12,3,58,1,0,2,5,0,0,63,22,0,0,33,0,47,0,18
42,2010-07-01,2,95,6,0,58,0,0,1,3,0,0,58,14,0,0,22,0,48,2,17
43,2010-08-01,2,86,10,1,58,1,0,2,5,0,0,57,17,0,0,19,0,52,1,19
44,2010-09-01,4,70,17,3,54,1,0,2,7,0,0,48,23,0,0,25,0,45,3,16
45,2010-10-01,3,60,14,2,53,1,0,1,6,0,0,53,17,0,0,24,0,37,1,13
46,2010-11-01,2,56,21,7,65,1,0,2,9,0,0,47,19,0,0,26,0,52,0,15
47,2010-12-01,8,56,14,3,49,1,0,2,6,0,0,42,15,0,0,26,0,42,2,10
48,2011-01-01,5,38,28,4,79,1,0,3,10,0,0,72,31,0,0,45,0,57,2,18
49,2011-02-01,3,43,28,5,80,2,0,1,16,0,0,63,31,0,0,48,0,57,4,15
50,2011-03-01,4,31,27,5,85,0,0,4,14,0,0,62,26,0,0,60,0,60,3,26
51,2011-04-01,2,26,19,4,87,1,0,3,17,0,0,68,27,0,0,52,0,69,4,29
52,2011-05-01,4,36,23,4,78,1,0,2,13,0,0,82,21,0,0,52,0,71,5,23
53,2011-06-01,5,45,28,5,84,1,0,4,13,0,0,87,21,0,0,67,0,72,3,29
54,2011-07-01,5,52,17,2,82,2,0,4,9,0,0,95,23,0,0,58,0,61,5,24
55,2011-08-01,2,50,25,4,77,1,0,4,9,0,0,89,21,0,0,52,0,81,2,29
56,2011-09-01,6,38,24,7,81,1,0,5,16,0,0,84,31,0,0,52,0,75,4,20
57,2011-10-01,4,41,26,5,78,1,0,3,16,0,0,83,21,0,0,45,0,65,3,25
58,2011-11-01,3,33,24,7,92,2,0,3,15,0,0,76,35,0,0,57,0,67,3,19
59,2011-12-01,5,42,30,6,75,1,0,1,14,0,0,62,19,0,0,42,0,72,4,16
60,2012-01-01,5,45,23,5,66,1,0,3,11,0,0,66,34,0,0,46,0,62,5,22
61,2012-02-01,4,43,23,3,71,1,0,3,9,0,0,68,32,0,0,50,0,60,2,20
62,2012-03-01,4,44,24,6,74,1,0,3,16,0,0,65,24,0,0,40,0,70,2,28
63,2012-04-01,4,36,21,5,79,1,0,4,15,0,0,69,28,0,0,52,0,71,3,22
64,2012-05-01,6,34,21,4,71,1,0,3,11,0,0,72,29,0,0,48,0,79,2,30
65,2012-06-01,3,53,20,3,76,0,0,2,12,0,0,87,29,0,0,62,0,90,4,28
66,2012-07-01,3,39,23,8,73,1,0,3,11,0,0,85,16,0,0,49,0,84,4,27
67,2012-08-01,2,52,26,5,79,1,0,3,12,0,0,78,25,0,0,59,0,88,2,30
68,2012-09-01,8,47,26,6,68,1,0,4,15,0,0,74,32,0,0,57,0,92,2,31
69,2012-10-01,4,50,25,7,64,1,0,2,11,0,0,63,30,0,0,59,0,68,3,24
70,2012-11-01,3,58,21,3,81,2,0,2,14,0,0,69,24,0,0,52,0,62,8,21
71,2012-12-01,4,51,24,4,66,2,0,3,13,0,0,63,17,0,0,45,0,87,0,16
72,2013-01-01,4,45,28,4,76,1,0,2,16,0,0,61,26,0,0,48,0,73,2,25
73,2013-02-01,3,47,25,4,72,1,0,3,12,0,0,56,28,0,0,41,0,66,4,17
74,2013-03-01,7,47,26,5,71,1,0,5,15,0,0,67,26,0,0,51,0,70,3,26
75,2013-04-01,6,43,22,7,82,1,0,4,12,0,0,68,31,0,0,61,0,73,4,31
76,2013-05-01,3,47,21,3,79,1,0,3,10,0,0,69,21,0,0,45,0,79,1,33
77,2013-06-01,3,59,21,4,77,1,0,4,9,0,0,89,17,0,0,56,0,95,3,27
78,2013-07-01,3,58,17,4,80,0,0,3,13,0,0,99,21,0,0,51,0,83,1,29
79,2013-08-01,4,54,22,4,83,2,0,2,8,0,0,83,27,0,0,41,0,96,3,27
80,2013-09-01,1,63,34,5,74,2,0,3,16,0,0,79,27,0,0,48,0,70,1,26
81,2013-10-01,3,51,19,8,69,2,0,3,12,0,0,68,32,0,0,44,0,75,2,27
82,2013-11-01,4,40,22,6,89,1,0,3,8,0,0,71,27,0,0,45,0,76,2,21
83,2013-12-01,4,62,21,2,67,1,0,2,5,0,0,64,24,0,0,40,0,70,3,21
84,2014-01-01,5,49,22,5,68,1,0,3,10,0,0,70,31,0,0,45,0,64,2,23
85,2014-02-01,4,44,18,3,69,1,0,4,10,0,0,66,26,0,0,54,0,69,4,24
86,2014-03-01,5,43,19,3,73,1,0,2,14,0,0,67,33,0,0,46,0,67,2,23
87,2014-04-01,4,48,25,6,83,1,0,3,13,0,0,83,26,0,0,61,0,76,3,29
88,2014-05-01,6,57,13,6,83,2,0,2,9,0,0,87,24,0,0,43,0,96,2,32
89,2014-06-01,2,71,19,4,81,1,0,2,10,0,0,93,20,0,0,54,0,92,3,35
90,2014-07-01,7,58,17,6,88,1,0,2,8,0,0,85,19,0,0,50,0,90,6,31
91,2014-08-01,2,62,28,6,77,1,0,3,9,0,0,91,21,0,0,56,0,86,3,27
92,2014-09-01,5,64,28,6,74,2,0,1,12,0,0,78,34,0,0,45,0,95,2,30
93,2014-10-01,2,61,21,3,74,2,0,3,11,0,0,68,39,0,0,56,0,79,3,34
94,2014-11-01,2,70,21,3,79,1,0,3,12,0,0,69,24,0,0,45,0,76,3,34
95,2014-12-01,3,69,17,4,71,0,0,3,9,0,0,71,24,0,0,42,0,69,3,24
96,2015-01-01,6,61,23,5,76,1,0,3,14,0,0,73,37,0,0,44,0,75,4,14
97,2015-02-01,5,62,25,2,71,1,0,3,8,0,0,63,29,0,0,61,0,76,3,25
98,2015-03-01,3,68,19,6,80,2,0,3,11,0,0,76,29,0,0,51,0,73,3,27
99,2015-04-01,3,76,17,5,85,1,0,3,11,0,0,74,33,0,0,56,0,71,5,32
100,2015-05-01,4,65,17,4,90,1,0,4,10,0,0,95,26,0,0,61,0,87,2,32
101,2015-06-01,2,86,14,5,82,1,0,4,7,0,0,92,31,0,0,73,0,84,3,36
102,2015-07-01,2,56,18,4,86,2,0,3,6,0,0,100,21,0,0,49,0,97,3,36
103,2015-08-01,1,85,19,3,85,2,0,3,7,0,0,88,25,0,0,50,0,91,6,34
104,2015-09-01,4,65,19,7,72,2,0,3,11,0,0,91,38,0,0,44,0,71,4,33
105,2015-10-01,1,70,18,4,81,1,0,4,11,0,0,76,29,0,0,54,0,80,3,27
106,2015-11-01,4,62,20,3,83,1,0,2,8,0,0,69,23,0,0,42,0,69,2,26
107,2015-12-01,4,67,17,6,67,1,0,2,13,0,0,60,25,0,0,39,0,68,5,18
108,2016-01-01,2,69,17,6,66,1,0,2,10,0,0,65,28,0,0,45,0,73,2,22
109,2016-02-01,3,68,16,6,69,1,0,4,9,0,0,71,38,0,0,41,0,75,2,25
110,2016-03-01,1,58,16,3,71,2,0,2,9,0,0,73,29,0,0,45,0,81,1,30
111,2016-04-01,4,67,12,4,86,1,0,2,8,0,0,67,27,0,0,41,0,75,2,34
112,2016-05-01,3,72,11,4,75,1,0,4,8,0,0,87,25,0,0,40,0,93,3,42
113,2016-06-01,2,76,9,1,87,1,0,2,7,0,0,89,20,0,0,49,0,93,3,42
114,2016-07-01,1,84,17,2,86,0,0,2,6,0,0,87,20,0,0,40,0,88,4,43
115,2016-08-01,1,76,18,3,72,1,0,2,8,0,0,87,17,0,0,48,0,88,3,38
116,2016-09-01,4,89,14,6,82,2,0,2,11,0,0,76,36,0,0,40,0,82,1,29
117,2016-10-01,2,67,13,4,69,1,0,2,9,0,0,70,27,0,0,40,0,80,3,29
118,2016-11-01,2,73,12,4,87,1,0,1,9,0,0,72,23,0,0,39,0,74,5,30
119,2016-12-01,2,95,8,7,67,1,0,1,7,0,0,62,20,0,0,38,0,72,2,24
120,2017-01-01,2,88,14,6,75,1,0,3,7,0,0,69,18,0,0,36,0,77,3,33
121,2017-02-01,7,75,16,4,73,1,0,2,6,0,0,64,31,0,0,46,0,73,2,51
122,2017-03-01,3,76,13,4,82,2,0,2,8,0,0,63,31,0,0,32,0,71,3,34
123,2017-04-01,2,71,10,4,90,2,0,3,6,0,0,77,27,0,0,33,0,78,3,46
124,2017-05-01,2,83,13,3,88,2,0,3,7,0,0,86,18,0,0,43,0,80,1,45
125,2017-06-01,1,87,10,3,91,1,0,2,8,0,0,98,19,0,0,41,0,88,3,47
126,2017-07-01,2,100,10,4,97,1,0,1,5,0,0,97,16,0,0,40,0,100,1,41
127,2017-08-01,2,97,8,4,92,1,0,2,3,0,0,88,16,0,0,42,0,89,0,47
128,2017-09-01,2,88,15,4,79,1,0,3,7,0,0,84,26,0,0,35,0,92,4,33
129,2017-10-01,2,81,9,6,69,2,0,2,8,0,0,74,27,0,0,35,0,87,4,30
130,2017-11-01,2,96,10,3,90,1,0,1,8,0,0,81,25,0,0,37,0,76,3,38
131,2017-12-01,2,85,6,4,70,2,0,1,5,0,0,77,23,0,0,28,0,73,2,30
