,date,microsoft excel,customer service,microsoft office,scheduling,microsoft word,customer contact,microsoft powerpoint,repair,software development,cleaning,data entry,inspection,JAVA
0,2007-01-01,9,10,21,8,14,0,3,43,13,76,17,17,72
1,2007-02-01,7,11,24,11,19,0,5,51,0,56,9,22,74
2,2007-03-01,8,9,26,6,18,0,4,60,8,68,12,20,89
3,2007-04-01,5,7,22,6,21,0,7,67,8,76,24,20,90
4,2007-05-01,4,11,22,9,7,0,7,71,0,83,0,32,64
5,2007-06-01,4,16,11,4,10,0,4,61,19,66,0,28,71
6,2007-07-01,4,12,15,4,15,0,0,87,9,73,9,56,92
7,2007-08-01,3,18,19,3,18,0,3,69,8,74,0,35,76
8,2007-09-01,4,9,30,3,16,0,3,43,7,47,7,29,86
9,2007-10-01,4,10,18,0,24,0,4,61,6,44,13,22,97
10,2007-11-01,5,13,19,5,16,0,2,56,0,66,6,22,71
11,2007-12-01,3,16,23,3,16,0,3,61,13,69,10,13,69
12,2008-01-01,11,8,39,2,10,0,2,60,0,89,11,26,80
13,2008-02-01,5,11,20,6,24,0,4,55,6,60,17,14,95
14,2008-03-01,5,8,30,2,16,0,2,51,6,100,17,28,78
15,2008-04-01,6,11,21,4,18,0,7,64,5,35,11,29,84
16,2008-05-01,4,19,26,5,13,0,2,62,8,57,6,37,74
17,2008-06-01,3,21,14,3,14,0,4,77,7,78,0,30,62
18,2008-07-01,3,24,27,3,18,0,0,71,6,74,6,23,79
19,2008-08-01,8,15,35,8,15,0,2,63,0,53,12,19,59
20,2008-09-01,4,17,41,4,20,0,2,53,5,53,11,24,67
21,2008-10-01,8,14,19,3,18,0,4,65,5,75,5,17,84
22,2008-11-01,3,16,35,6,15,0,3,54,0,64,11,19,50
23,2008-12-01,6,23,24,8,15,0,5,70,11,72,5,11,63
24,2009-01-01,4,22,24,6,10,0,2,60,8,65,5,18,53
25,2009-02-01,3,30,27,4,21,0,2,65,5,74,0,10,73
26,2009-03-01,5,27,20,3,22,0,2,63,0,56,5,25,70
27,2009-04-01,7,23,26,4,15,0,3,60,5,71,9,33,86
28,2009-05-01,3,13,25,2,19,0,3,62,5,90,5,28,53
29,2009-06-01,5,19,23,6,12,0,3,73,6,77,6,50,59
30,2009-07-01,6,23,29,10,11,0,4,100,6,99,12,38,81
31,2009-08-01,4,16,29,7,17,0,3,71,0,71,6,23,75
32,2009-09-01,7,28,32,4,24,0,3,64,5,73,9,19,76
33,2009-10-01,5,26,27,5,16,0,5,62,0,84,7,20,90
34,2009-11-01,6,27,37,6,20,0,2,59,12,65,5,22,93
35,2009-12-01,5,37,27,2,18,0,4,70,0,73,5,26,64
36,2010-01-01,11,33,31,6,16,0,3,71,9,69,4,16,70
37,2010-02-01,7,27,31,4,19,0,2,66,5,70,5,18,75
38,2010-03-01,4,31,24,5,17,0,1,56,0,82,8,33,72
39,2010-04-01,3,36,31,3,18,0,3,69,4,71,4,24,74
40,2010-05-01,6,29,21,4,26,0,5,75,0,84,5,22,57
41,2010-06-01,6,41,32,2,20,0,4,92,11,80,11,27,65
42,2010-07-01,7,30,25,4,12,0,3,82,5,75,5,28,40
43,2010-08-01,5,32,36,8,14,0,2,80,0,67,17,60,70
44,2010-09-01,7,33,32,5,25,0,5,59,4,75,4,31,93
45,2010-10-01,6,24,24,4,26,0,3,70,0,40,9,15,100
46,2010-11-01,6,32,24,4,24,0,2,56,5,69,0,14,81
47,2010-12-01,5,33,26,3,20,0,2,72,14,77,14,36,65
48,2011-01-01,4,33,31,3,20,0,2,67,2,78,5,20,57
49,2011-02-01,3,38,26,2,19,0,3,64,3,67,5,16,57
50,2011-03-01,3,32,21,4,15,0,3,71,4,86,5,30,59
51,2011-04-01,3,30,23,3,19,0,4,70,3,77,5,27,51
52,2011-05-01,4,28,24,3,13,0,3,71,5,73,6,30,44
53,2011-06-01,4,40,19,2,17,0,2,74,3,83,4,31,45
54,2011-07-01,2,38,19,3,12,0,1,88,3,89,5,40,45
55,2011-08-01,3,38,23,2,17,0,2,72,2,65,2,26,50
56,2011-09-01,6,41,34,3,25,0,4,63,4,76,4,29,65
57,2011-10-01,2,32,23,3,16,0,2,66,1,63,5,27,64
58,2011-11-01,3,34,24,4,15,0,2,57,1,71,3,20,63
59,2011-12-01,3,38,27,3,19,0,4,63,5,77,5,22,56
60,2012-01-01,5,38,21,3,14,0,3,64,2,70,3,27,52
61,2012-02-01,3,32,22,3,17,0,2,63,2,69,2,25,57
62,2012-03-01,4,33,20,3,17,0,3,69,2,93,2,26,53
63,2012-04-01,2,36,22,4,18,0,4,62,2,81,3,20,60
64,2012-05-01,4,35,17,2,13,0,2,75,3,72,6,28,47
65,2012-06-01,2,40,16,2,10,0,1,68,0,89,4,32,48
66,2012-07-01,3,46,16,2,11,0,2,72,3,72,3,31,43
67,2012-08-01,4,45,27,2,17,0,1,75,2,79,8,28,58
68,2012-09-01,2,41,20,3,18,0,4,67,2,76,3,29,60
69,2012-10-01,2,43,19,5,17,0,3,60,0,68,3,22,59
70,2012-11-01,3,46,19,4,16,0,3,57,3,64,5,19,60
71,2012-12-01,1,45,18,3,14,0,2,58,3,63,3,20,47
72,2013-01-01,3,42,25,2,16,0,3,60,1,73,3,27,77
73,2013-02-01,4,40,20,2,20,0,2,56,1,71,3,22,66
74,2013-03-01,2,43,19,4,15,0,2,58,1,84,2,22,64
75,2013-04-01,2,38,20,3,18,0,3,67,2,87,1,22,64
76,2013-05-01,3,38,21,3,17,0,4,74,1,76,3,30,54
77,2013-06-01,3,39,16,3,9,0,1,74,2,87,4,31,45
78,2013-07-01,1,45,17,2,9,0,1,81,1,92,4,41,49
79,2013-08-01,2,49,23,3,16,0,1,78,2,82,2,36,48
80,2013-09-01,3,49,25,3,18,0,2,65,2,77,2,26,56
81,2013-10-01,3,45,20,4,16,0,3,65,1,79,1,25,59
82,2013-11-01,2,50,19,2,14,0,2,64,2,81,3,25,47
83,2013-12-01,1,50,17,3,14,0,2,61,1,66,1,13,44
84,2014-01-01,3,53,20,2,11,0,1,62,1,78,3,26,51
85,2014-02-01,4,55,20,3,15,0,1,60,1,68,4,30,54
86,2014-03-01,3,49,18,3,13,0,2,68,1,77,5,34,46
87,2014-04-01,3,48,22,3,16,0,1,69,2,79,5,33,53
88,2014-05-01,2,59,13,3,8,0,1,82,2,90,3,35,29
89,2014-06-01,2,52,15,4,9,0,1,89,2,85,3,32,44
90,2014-07-01,2,52,12,2,8,0,1,78,3,80,2,45,43
91,2014-08-01,2,58,23,3,12,0,1,81,1,95,3,39,45
92,2014-09-01,3,55,25,4,15,0,1,73,1,81,3,31,55
93,2014-10-01,3,53,24,4,16,0,2,65,0,82,1,26,50
94,2014-11-01,3,49,20,3,12,0,1,67,2,68,3,24,54
95,2014-12-01,2,61,21,2,13,0,1,61,2,66,4,24,39
96,2015-01-01,2,54,19,3,13,0,1,65,2,70,2,22,44
97,2015-02-01,4,57,19,3,11,0,1,70,3,78,3,29,47
98,2015-03-01,3,54,18,4,13,0,1,73,2,95,2,35,46
99,2015-04-01,3,59,17,4,13,0,1,76,1,86,3,40,44
100,2015-05-01,2,63,17,2,12,0,1,79,2,90,3,36,40
101,2015-06-01,2,68,13,3,9,0,0,86,4,97,3,37,36
102,2015-07-01,2,64,13,4,9,0,0,83,0,80,3,33,36
103,2015-08-01,3,69,26,2,10,0,1,83,0,86,6,32,36
104,2015-09-01,4,71,19,3,17,0,1,74,2,83,1,31,37
105,2015-10-01,3,64,21,5,15,0,1,72,2,76,1,26,43
106,2015-11-01,1,54,19,2,12,0,2,69,2,80,0,27,36
107,2015-12-01,1,71,15,2,11,0,1,69,1,77,4,27,29
108,2016-01-01,1,58,14,2,8,0,0,70,2,84,3,29,24
109,2016-02-01,2,72,15,3,9,0,1,67,2,81,2,31,30
110,2016-03-01,1,70,12,4,7,0,1,73,1,70,2,37,29
111,2016-04-01,1,65,12,3,8,0,1,79,1,88,1,38,33
112,2016-05-01,1,66,11,2,8,0,1,77,2,92,4,36,21
113,2016-06-01,1,76,7,2,7,0,0,87,1,95,2,38,18
114,2016-07-01,2,78,10,3,6,0,0,78,1,91,2,39,17
115,2016-08-01,1,76,13,3,9,0,1,83,0,95,1,33,22
116,2016-09-01,2,77,15,2,11,0,0,72,1,88,2,35,26
117,2016-10-01,2,71,14,3,10,0,1,69,1,74,3,29,28
118,2016-11-01,1,79,11,4,8,0,0,65,2,78,1,26,26
119,2016-12-01,1,89,10,2,8,0,1,70,2,74,2,29,21
120,2017-01-01,1,82,16,2,8,0,0,65,0,75,3,33,24
121,2017-02-01,2,78,12,3,9,0,1,71,0,76,1,39,30
122,2017-03-01,1,71,12,3,8,0,0,73,2,81,2,40,28
123,2017-04-01,1,75,11,4,8,0,1,79,3,86,3,37,28
124,2017-05-01,1,91,9,3,6,0,0,76,2,86,2,40,15
125,2017-06-01,2,95,7,2,4,0,0,88,1,92,3,53,16
126,2017-07-01,1,97,8,2,5,0,0,88,1,93,3,45,15
127,2017-08-01,1,93,14,3,8,0,0,84,1,91,2,42,17
128,2017-09-01,1,84,13,4,9,0,0,76,1,84,3,38,26
129,2017-10-01,1,95,10,3,8,0,1,72,2,80,1,39,25
130,2017-11-01,1,88,12,2,8,0,1,69,1,85,1,42,23
131,2017-12-01,1,100,9,2,8,0,1,69,1,82,2,41,15
