date,anxiety,closing,entrepreneur,home,isPartial
2007-01-01,3,2,0,82,False
2007-02-01,2,7,0,70,False
2007-03-01,2,2,1,73,False
2007-04-01,2,2,1,78,False
2007-05-01,2,2,0,80,False
2007-06-01,2,1,0,79,False
2007-07-01,2,1,0,84,False
2007-08-01,1,1,0,83,False
2007-09-01,2,1,0,75,False
2007-10-01,2,1,0,73,False
2007-11-01,2,2,0,73,False
2007-12-01,2,3,0,74,False
2008-01-01,3,4,0,83,False
2008-02-01,2,6,0,78,False
2008-03-01,2,2,0,81,False
2008-04-01,2,2,0,78,False
2008-05-01,2,2,0,87,False
2008-06-01,2,4,0,85,False
2008-07-01,2,2,0,87,False
2008-08-01,2,3,0,84,False
2008-09-01,2,2,1,75,False
2008-10-01,2,2,1,74,False
2008-11-01,3,4,0,77,False
2008-12-01,2,6,0,79,False
2009-01-01,2,5,0,82,False
2009-02-01,3,3,0,80,False
2009-03-01,3,2,0,82,False
2009-04-01,3,2,0,85,False
2009-05-01,2,7,0,84,False
2009-06-01,2,3,0,85,False
2009-07-01,2,2,0,82,False
2009-08-01,2,2,0,86,False
2009-09-01,3,2,0,81,False
2009-10-01,3,2,1,83,False
2009-11-01,3,2,0,87,False
2009-12-01,2,4,0,78,False
2010-01-01,3,2,1,86,False
2010-02-01,2,4,1,81,False
2010-03-01,2,2,0,82,False
2010-04-01,3,2,0,86,False
2010-05-01,2,2,0,85,False
2010-06-01,2,3,0,82,False
2010-07-01,2,2,0,84,False
2010-08-01,3,2,1,87,False
2010-09-01,3,2,1,78,False
2010-10-01,3,2,0,74,False
2010-11-01,2,2,1,78,False
2010-12-01,3,3,0,78,False
2011-01-01,2,3,1,82,False
2011-02-01,3,7,0,71,False
2011-03-01,3,2,0,77,False
2011-04-01,3,2,0,75,False
2011-05-01,2,2,0,84,False
2011-06-01,2,1,0,81,False
2011-07-01,3,3,0,84,False
2011-08-01,3,2,0,83,False
2011-09-01,3,2,0,75,False
2011-10-01,3,2,0,73,False
2011-11-01,3,1,0,76,False
2011-12-01,2,3,0,76,False
2012-01-01,3,3,0,82,False
2012-02-01,3,2,0,78,False
2012-03-01,3,2,0,78,False
2012-04-01,3,2,0,81,False
2012-05-01,3,2,0,84,False
2012-06-01,3,2,0,81,False
2012-07-01,3,2,0,88,False
2012-08-01,3,5,0,79,False
2012-09-01,3,2,0,77,False
2012-10-01,3,2,0,76,False
2012-11-01,3,3,0,79,False
2012-12-01,3,4,0,82,False
2013-01-01,4,3,0,92,False
2013-02-01,3,4,0,81,False
2013-03-01,3,4,0,83,False
2013-04-01,3,3,0,86,False
2013-05-01,3,2,0,92,False
2013-06-01,3,2,0,97,False
2013-07-01,3,2,0,95,False
2013-08-01,3,2,0,91,False
2013-09-01,3,2,0,87,False
2013-10-01,3,2,0,81,False
2013-11-01,3,2,0,85,False
2013-12-01,3,3,0,82,False
2014-01-01,3,9,0,90,False
2014-02-01,4,5,0,82,False
2014-03-01,4,3,0,86,False
2014-04-01,3,2,0,91,False
2014-05-01,3,2,0,96,False
2014-06-01,3,2,0,95,False
2014-07-01,3,2,0,98,False
2014-08-01,3,2,0,90,False
2014-09-01,3,3,0,87,False
2014-10-01,4,2,0,85,False
2014-11-01,3,3,0,88,False
2014-12-01,4,3,0,90,False
2015-01-01,3,8,0,94,False
2015-02-01,4,5,0,88,False
2015-03-01,4,3,0,95,False
2015-04-01,4,3,0,99,False
2015-05-01,4,3,0,100,False
2015-06-01,4,2,0,99,False
2015-07-01,4,2,0,99,False
2015-08-01,4,2,0,96,False
2015-09-01,4,3,0,90,False
2015-10-01,4,3,0,86,False
2015-11-01,5,3,0,91,False
2015-12-01,4,3,0,93,False
2016-01-01,4,5,0,87,False
2016-02-01,4,5,0,84,False
2016-03-01,5,4,0,86,False
2016-04-01,5,3,0,93,False
2016-05-01,4,3,0,96,False
2016-06-01,4,2,0,92,False
2016-07-01,4,3,0,91,False
2016-08-01,4,5,0,90,False
2016-09-01,4,3,0,82,False
2016-10-01,4,3,0,81,False
2016-11-01,4,3,0,81,False
2016-12-01,4,6,0,88,False
2017-01-01,5,13,0,87,False
2017-02-01,5,4,0,84,False
2017-03-01,5,6,0,85,False
2017-04-01,5,3,0,94,False
2017-05-01,5,5,0,94,False
2017-06-01,4,3,0,94,False
2017-07-01,4,4,0,96,False
2017-08-01,5,3,0,91,False
2017-09-01,5,3,0,86,False
2017-10-01,5,2,0,86,False
2017-11-01,5,3,0,93,False
2017-12-01,5,3,0,94,False
